Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4008251935,27997MH,NY,COM,02/02/2018,5,VAN,CHEVR,V,0,0,0,0,,0,0,0,,,0425P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,WH,,2016,,0,,BUS LANE VIOLATION,,,
4008251923,T640716C,NY,OMT,02/02/2018,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0425P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,BK,,2013,,0,,BUS LANE VIOLATION,,,
4008251911,B5FHK,FL,PAS,02/02/2018,5,4D,NISSA,V,0,0,0,0,,0,0,0,,,0424P,,BK,,,NB ROGERS AVE @ LIND,EN BLVD,0,1111,C,T,,,,GRY,,2017,,0,,BUS LANE VIOLATION,,,
4008251819,T759165C,NY,OMT,02/02/2018,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0412P,,MN,,,SB 2ND AVE @ E 61ST,ST,0,1111,C,T,,,,GY,,2018,,0,,BUS LANE VIOLATION,,,
4008251789,T623024C,NY,OMT,02/02/2018,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0407P,,BX,,,EB E 161ST ST @ GERA,RD AVE,0,1111,C,T,,,,WH,,2017,,0,,BUS LANE VIOLATION,,,
4008251741,33905LV,NY,OML,02/02/2018,5,SUBN,FORD,V,0,9660,0,0,,0,0,0,,,0400P,,BX,,,EB E 163RD ST @ THIR,D AVE,0,1111,C,T,,,,WH,,2017,,0,,BUS LANE VIOLATION,,,
4008251730,SPECKXO,NY,SRF,02/02/2018,5,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0359P,,ST,,,SB HYLAN BLVD @ JEFF,ERSON AVE,0,1111,C,T,,,,WH,,2013,,0,,BUS LANE VIOLATION,,,
4008251686,5L67H,NY,OMT,02/02/2018,5,TAXI,TOYOT,V,0,0,0,0,,0,0,0,,,0356P,,MN,,,SB 2ND AVE @ E 57TH,ST,0,1111,C,T,,,,YW,,2014,,0,,BUS LANE VIOLATION,,,
4008251625,AL85258,CT,PAS,02/02/2018,5,SW,TOYOT,V,0,0,0,0,,0,0,0,,,0349P,,BK,,,SB NOSTRAND AVE @ LI,NDEN BLVD,0,1111,C,T,,,,GRY,,2018,,0,,BUS LANE VIOLATION,,,
4008251613,T724834C,NY,OMT,02/02/2018,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0348P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
