Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8604818674,29765MA,NY,COM,01/17/2018,40,VAN,FORD,T,18730,0,0,20181231,19,19,19,361307,T103,K,1103A,,NY,I,N,E 87th St,20ft E/of 2nd Ave,0,408,e2,,YYYYYYY,,,WHITE,,2016,,1,CC1,40-Fire Hydrant,,,
8604818558,CLW4786,NY,PAS,01/17/2018,40,SUBN,SAAB,T,18770,0,0,20190615,19,19,19,361307,T103,K,1005A,,NY,I,N,E 89th St,5ft W/of 3rd Ave,0,408,e2,,YYYYYYY,,,GOLD,,2009,,0,CC1,40-Fire Hydrant,,,
8611111333,1DA3705,MD,PAS,01/17/2018,40,4DSD,CHEVR,T,93230,67030,58730,20180188,79,79,79,364025,T301,O,0143P,,K,F,484,Willoughby Ave,,0,408,e2,,YYYYYYY,,,RED,,0,,6,C,40-Fire Hydrant,,,
8610632726,44532MC,NY,COM,01/17/2018,40,VAN,CHEVR,T,79730,69230,63030,88880088,79,79,79,361084,T301,I,0242P,,K,F,96,Spencer St,,0,408,e2,,YYYYYYY,,,WHITE,,2012,,0,CC2,40-Fire Hydrant,,,
8615965493,AG06104,CT,PAS,01/17/2018,40,SUBN,ROVER,T,10110,17170,17190,88880088,9,9,9,366469,T101,D,0152P,,NY,F,152,2nd Ave,,0,408,e2,,YYYYYYY,,,BLACK,,0,,4,65,40-Fire Hydrant,,,
8614655320,FRG2900,NY,PAS,01/17/2018,40,SUBN,LEXUS,T,8830,0,0,20190908,66,66,66,365355,T302,E,1254P,,K,I,N,45th St,65ft W/of 13th Ave,0,408,e2,,YYYYYYY,,,GY,,2016,,2,01,40-Fire Hydrant,,,
8614371883,EFC5371,NY,PAS,01/17/2018,40,SUBN,BUICK,T,6280,9880,9930,20180630,68,68,68,361824,T302,E,0109P,,K,O,6615,12th Ave,,0,408,e2,,YYYYYYY,,,GY,,2016,,0,24,40-Fire Hydrant,,,
8614371810,80335MB,NY,SRF,01/17/2018,40,SUBN,CHEVR,T,9080,6380,6480,20181106,66,66,66,361824,T302,E,1122A,,K,F,1308,50th St,,0,408,e2,,YYYYYYY,,,BLUE,,2006,,0,24,40-Fire Hydrant,,,
8614371652,H26HVC,NJ,PAS,01/17/2018,40,SUBN,FORD,T,9130,6280,64730,88880088,66,66,66,361824,T302,E,0930A,,K,F,1226,51st St,,0,408,e2,,YYYYYYY,,,BLACK,,0,,0,24,40-Fire Hydrant,,,
8612266701,T756185C,NY,OMT,01/17/2018,40,SUBN,LEXUS,T,9630,5580,5680,20181231,72,72,72,347654,T302,N,0859A,,K,F,509,61st St,,0,408,e2,,YYYYYYY,,,GY,,2013,,3,P,40-Fire Hydrant,,,
8612266660,EUD3861,NY,PAS,01/17/2018,40,SUBN,TOYOT,T,9580,5130,10670,20191210,72,72,72,347654,T302,N,0748A,,K,F,245,60th St,,0,408,e2,,YYYYYYY,,,GL,,0,,5,P,40-Fire Hydrant,,,
8611508853,DPU3389,NY,PAS,01/17/2018,40,4DSD,BMW,T,19230,5430,5580,20180427,78,78,78,355311,T802,A,0852P,,K,F,393,Bergen St,,0,408,e2,,YYYYYYY,,,WH,,2016,,3,P,40-Fire Hydrant,,,
8611508804,T736665C,NY,OMT,01/17/2018,40,4DSD,TOYOT,T,29530,40030,25330,20180331,83,83,83,355311,T802,A,0258A,,K,O,166,Cornelia St,,0,408,e2,,YYYYYYY,,,BLACK,,2014,,4,S,40-Fire Hydrant,,,
8611508774,Y29JND,NJ,PAS,01/17/2018,40,SUBN,JEEP,T,50130,54100,52130,88880088,83,83,83,355311,T802,A,0149A,,K,F,237,Himrod St,,0,408,e2,,YYYYYYY,,,BLACK,,0,,0,S,40-Fire Hydrant,,,
8611508750,FTT2937,NY,PAS,01/17/2018,40,SUBN,MAZDA,T,31530,80630,31230,20191209,83,83,83,355311,T802,A,0125A,,K,F,1719,Dekalb Ave,,0,408,e2,,YYYYYYY,,,WH,,2012,,5,S,40-Fire Hydrant,,,
8611508737,Z59HDH,NJ,PAS,01/17/2018,40,4DSD,INFIN,T,47630,94730,80630,88880088,83,83,83,355311,T802,A,0107A,,K,F,1007,Hart St,,0,408,e2,,YYYYYYY,,,BLACK,,0,,0,S,40-Fire Hydrant,,,
8605751459,24784JZ,NY,COM,01/17/2018,40,PICK,FORD,T,22920,0,0,88880088,47,47,47,358605,T201,J,0254P,,BX,I,W,Cruger Ave,2ft S/of Burke Ave,0,408,e2,,YYYYYYY,,,WHITE,,2008,,0,11,40-Fire Hydrant,,,
8610152698,1AN744,MA,PAS,01/17/2018,40,UTIL,NS/OT,T,87330,68930,31830,20180788,77,77,77,345440,T301,A,0113P,,K,O,550,Vanderbilt Ave,,0,408,e2,,YYYYYYY,,,TAN,,0,,0,09,40-Fire Hydrant,,,
8606070488,V96HUB,NJ,PAS,01/17/2018,40,SUBN,JEEP,T,15720,26070,26100,88880088,40,40,40,355594,T201,S,1025A,,BX,F,512,Brook Ave,,0,408,e2,,YYYYYYY,,,WHITE,,0,,5,40,40-Fire Hydrant,,,
8606070373,EJSG48,FL,PAS,01/17/2018,40,4DSD,VOLKS,T,25740,0,0,20180388,40,40,40,355594,T201,S,0824A,,BX,I,N,E 136th St,180ft W/of Brown Pl,0,408,e2,,YYYYYYY,,,BLUE,,0,,6,40,40-Fire Hydrant,,,
8606070257,P683793,IN,PAS,01/17/2018,40,TRLR,UPS,T,0,0,0,88880088,40,40,40,355594,T201,S,0626A,,BX,I,N,E 135th St,20ft W/of Canal St,0,408,e2,,YYYYYYY,,,GREY,,0,,0,40,40-Fire Hydrant,,,
8606070233,32738JZ,NY,COM,01/17/2018,40,VAN,WORKH,T,0,0,0,88880088,40,40,40,355594,T201,S,0622A,,BX,I,N,E 135th St,15ft W/of Rider Ave,0,408,e2,,YYYYYYY,,,BROWN,,2009,,0,40,40-Fire Hydrant,,,
8605709741,CXS4494,NY,PAS,01/17/2018,40,SUBN,FORD,T,27000,49120,49520,20180731,48,48,48,362219,T201,A,0926A,,BX,O,826,E 178th St,,0,408,e2,,YYYYYYY,,,GY,,2004,,0,21,40-Fire Hydrant,,,
8610957974,DYV2263,NY,PAS,01/17/2018,40,2DSD,HONDA,T,25930,0,0,20190625,73,73,73,346199,T301,L,1003A,,K,I,N,Chester St,20ft E/of Sutter Ave,0,408,e2,,YYYYYYY,,,BK,,2008,,4,A,40-Fire Hydrant,,,
8610957913,AK08428,CT,PAS,01/17/2018,40,PICK,GMC,T,55130,83730,19830,20180088,73,73,73,346199,T301,L,0922A,,K,F,121,Legion St,,0,408,e2,,YYYYYYY,,,WHITE,,0,,0,A,40-Fire Hydrant,,,
8610957755,EVW2829,NY,PAS,01/17/2018,40,SUBN,DODGE,T,25530,50930,75130,20180124,73,73,73,346199,T301,L,0805A,,K,F,393,Chauncey St,,0,408,e2,,YYYYYYY,,,GY,,2005,,6,A,40-Fire Hydrant,,,
