Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4008186827,FSW6210,NY,PAS,01/12/2018,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0551P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GR,,2009,,0,,BUS LANE VIOLATION,,,
4008170790,3CF2664,MD,PAS,01/12/2018,5,4SLE,LEXUS,V,0,0,0,0,,0,0,0,,,0544P,,BK,,,NB ROGERS AVE @ LIND,EN BLVD,0,1111,C,T,,,,,,2016,,0,,BUS LANE VIOLATION,,,
4008170789,CRL6595,NY,PAS,01/12/2018,5,SUBN,MAZDA,V,0,0,0,0,,0,0,0,,,0410P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,BL,,2015,,0,,BUS LANE VIOLATION,,,
4008170765,T657451C,NY,OMT,01/12/2018,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0342P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,BK,,2012,,0,,BUS LANE VIOLATION,,,
4008170698,S1LVAFX,NC,PAS,01/12/2018,5,4S,HONDA,V,0,0,0,0,,0,0,0,,,0122P,,BK,,,NB UTICA AVE @ LINDE,N BLVD,0,1111,C,T,,,,,,2017,,0,,BUS LANE VIOLATION,,,
4008167572,FCS524,NY,OMT,01/12/2018,5,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0658P,,MN,,,NB 1ST AVE @ E 72ND,ST,0,1111,C,T,,,,BK,,2011,,0,,BUS LANE VIOLATION,,,
4008167560,FYT1854,NY,PAS,01/12/2018,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0657P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GY,,2002,,0,,BUS LANE VIOLATION,,,
4008167559,FYR9123,NY,PAS,01/12/2018,5,SUBN,HYUND,V,0,0,0,0,,0,0,0,,,0656P,,BK,,,NB ROGERS AVE @ LIND,EN BLVD,0,1111,C,T,,,,GY,,2016,,0,,BUS LANE VIOLATION,,,
4008167535,EHV7503,NC,PAS,01/12/2018,5,4S,CHRYS,V,0,0,0,0,,0,0,0,,,0656P,,BX,,,NB WEBSTER AVE @ E 1,88TH ST,0,1111,C,T,,,,,,2017,,0,,BUS LANE VIOLATION,,,
4008167511,66068MD,NY,COM,01/12/2018,5,PICK,FORD,V,0,0,0,0,,0,0,0,,,0655P,,BX,,,EB E FORDHAM RD @ GR,AND CONCOURSE,0,1111,C,T,,,,BK,,2013,,0,,BUS LANE VIOLATION,,,
4008167493,EBA9012,NY,PAS,01/12/2018,5,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0653P,,BK,,,SB UTICA AVE @ WINTH,ROP ST,0,1111,C,T,,,,GY,,2008,,0,,BUS LANE VIOLATION,,,
4008167419,AL88865,CT,PAS,01/12/2018,5,VN,DODGE,V,0,0,0,0,,0,0,0,,,0646P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,BLK,,2018,,0,,BUS LANE VIOLATION,,,
4008167407,T667753C,NY,OMT,01/12/2018,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0646P,,BK,,,NB ROGERS AVE @ LIND,EN BLVD,0,1111,C,T,,,,RD,,2012,,0,,BUS LANE VIOLATION,,,
4008167390,T665659C,NY,OMT,01/12/2018,5,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0645P,,BK,,,NB ROGERS AVE @ LIND,EN BLVD,0,1111,C,T,,,,BK,,2015,,0,,BUS LANE VIOLATION,,,
4008167353,T746017C,NY,OMT,01/12/2018,5,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0637P,,BK,,,NB UTICA AVE @ SNYDE,R AVE,0,1111,C,T,,,,GY,,2018,,0,,BUS LANE VIOLATION,,,
4008167330,NUE218,SC,PAS,01/12/2018,5,4S,CHEVR,V,0,0,0,0,,0,0,0,,,0637P,,BK,,,SB UTICA AVE @ WINTH,ROP ST,0,1111,C,T,,,,,,2018,,0,,BUS LANE VIOLATION,,,
4008167328,FSX6170,NY,PAS,01/12/2018,5,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0636P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,BK,,2012,,0,,BUS LANE VIOLATION,,,
4008167316,PJG9777,GA,PAS,01/12/2018,5,MP,HONDA,V,0,0,0,0,,0,0,0,,,0636P,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,RED,,2010,,0,,BUS LANE VIOLATION,,,
4008167304,EVN1510,NY,PAS,01/12/2018,5,4DSD,ACURA,V,0,0,0,0,,0,0,0,,,0636P,,BK,,,SB NOSTRAND AVE @ LI,NDEN BLVD,0,1111,C,T,,,,RD,,2006,,0,,BUS LANE VIOLATION,,,
4008167158,T702842C,NY,OMT,01/12/2018,5,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0625P,,MN,,,NB 1ST AVE @ E 14TH,ST,0,1111,C,T,,,,BK,,2017,,0,,BUS LANE VIOLATION,,,
4008167092,48885PC,NY,IRP,01/12/2018,5,DELV,FRUEH,V,0,0,0,0,,0,0,0,,,0616P,,BX,,,EB E 163RD ST @ SIMP,SON ST,0,1111,C,T,,,,WH,,2016,,0,,BUS LANE VIOLATION,,,
4008167080,R85EBF,NJ,PAS,01/12/2018,5,4 DR,MERCU,V,0,0,0,0,,0,0,0,,,0615P,,BK,,,NB UTICA AVE @ LENOX,RD,0,1111,C,T,,,,GN,,2002,,0,,BUS LANE VIOLATION,,,
4008167043,T502925C,NY,OMT,01/12/2018,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0612P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,WH,,2011,,0,,BUS LANE VIOLATION,,,
4008167031,19274TY,NY,OMT,01/12/2018,5,4DSD,LINCO,V,0,0,0,0,,0,0,0,,,0612P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,BK,,2009,,0,,BUS LANE VIOLATION,,,
4008167020,T756919C,NY,OMT,01/12/2018,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0612P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GY,,2014,,0,,BUS LANE VIOLATION,,,
4008167018,554YXH,CT,PAS,01/12/2018,5,4D,TOYOT,V,0,0,0,0,,0,0,0,,,0612P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,TAN,,1998,,0,,BUS LANE VIOLATION,,,
4008166968,T739554C,NY,OMT,01/12/2018,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0609P,,BK,,,NB UTICA AVE @ EASTE,RN PKWY,0,1111,C,T,,,,RD,,2017,,0,,BUS LANE VIOLATION,,,
4008166956,42610MG,NY,COM,01/12/2018,5,VAN,CHEVR,V,0,0,0,0,,0,0,0,,,0608P,,BX,,,NB WEBSTER AVE @ E 1,88TH ST,0,1111,C,T,,,,WH,,2012,,0,,BUS LANE VIOLATION,,,
4008166944,T726433C,NY,OMT,01/12/2018,5,4DSD,LEXUS,V,0,0,0,0,,0,0,0,,,0607P,,MN,,,SB 2ND AVE @ E 63RD,ST,0,1111,C,T,,,,BK,,2015,,0,,BUS LANE VIOLATION,,,
4008166907,T692719C,NY,OMT,01/12/2018,5,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0604P,,BX,,,EB E 163RD ST @ FOX,ST,0,1111,C,T,,,,BK,,2015,,0,,BUS LANE VIOLATION,,,
4008166853,B93DRN,NJ,PAS,01/12/2018,5,4 DR,SAAB,V,0,0,0,0,,0,0,0,,,0558P,,BX,,,WB E 161ST ST @ SHER,MAN AVE,0,1111,C,T,,,,GRY,,2005,,0,,BUS LANE VIOLATION,,,
4008166828,T661267C,NY,OMT,01/12/2018,5,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0555P,,BX,,,NB WEBSTER AVE @ E 1,88TH ST,0,1111,C,T,,,,BK,,2014,,0,,BUS LANE VIOLATION,,,
4008166816,F54FYU,NJ,PAS,01/12/2018,5,WAGO,TOYOT,V,0,0,0,0,,0,0,0,,,0555P,,BK,,,SB UTICA AVE @ WINTH,ROP ST,0,1111,C,T,,,,MAROO,,2007,,0,,BUS LANE VIOLATION,,,
