Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8628816306,57388MJ,NY,COM,01/19/2018,46,VAN,,T,15350,27050,32940,20191231,1,1,1,349538,T105,H,1000A,,NY,F,136,Church St,,0,408,F1,,YYYYYYY,,,WH,,2016,,0,021,46B-Double Parking (Com-100Ft),,,
8628816290,XZ316J,NJ,PAS,01/19/2018,46,VAN,ISUZU,T,15350,27880,27050,20180088,1,1,1,349538,T105,H,0957A,,NY,O,113,Church St,,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,021,46B-Double Parking (Com-100Ft),,,
8628816288,18147MA,NY,COM,01/19/2018,46,DELV,FRUEH,T,15350,27880,27050,20181130,1,1,1,349538,T105,H,0955A,,NY,O,113,Church St,,0,408,F1,,YYYYYYY,,,WH,,2004,,0,021,46B-Double Parking (Com-100Ft),,,
8628362060,74818MH,NY,COM,01/19/2018,46,VAN,FRUEH,T,15350,12520,27880,20190131,1,1,1,362270,T105,H,1221P,,NY,F,100,Church St,,0,408,F1,,YYYYYYY,,,WH,,2004,,0,038,46B-Double Parking (Com-100Ft),,,
8628362046,25456MG,NY,COM,01/19/2018,46,VAN,FORD,T,15350,27880,27050,20180831,1,1,1,362270,T105,H,1149A,,NY,F,120,Church St,,0,408,F1,,YYYYYYY,,,WH,,2014,,0,038,46B-Double Parking (Com-100Ft),,,
8627129435,94666MA,NY,COM,01/19/2018,46,DELV,INTER,T,11710,35090,35130,88880088,20,20,20,365362,T103,GG,0212P,,NY,F,167,Amsterdam Ave,,0,408,F1,,YYYYYYY,,,BROWN,,2005,,0,39,46B-Double Parking (Com-100Ft),,,
8627129381,2241169,IN,PAS,01/19/2018,46,TRAC,FRUEH,T,13610,35150,35170,20180088,20,20,20,365362,T103,GG,0151P,,NY,F,2030,Broadway,,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,39,46B-Double Parking (Com-100Ft),,,
8627129344,AS328U,NJ,PAS,01/19/2018,46,DELV,INTER,T,35210,13610,44990,88880088,20,20,20,365362,T103,GG,0124P,,NY,F,247,W 72nd St,,0,408,F1,,YYYYYYY,,,GREY,,0,,0,39,46B-Double Parking (Com-100Ft),,,
8626527330,AG00275,PA,PAS,01/19/2018,46,TRAC,MACK,T,35710,0,0,20170588,24,24,24,364911,T103,M,0802P,,NY,I,S,W 97th St,30ft E/of Columbus A,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,C,46B-Double Parking (Com-100Ft),,,
8626527299,49218KA,NY,COM,01/19/2018,46,VAN,FORD,T,11310,16010,30190,88880088,34,34,34,364911,T103,M,0434P,,NY,F,690,Academy St,,0,408,F1,,YYYYYYY,,,WHITE,,2009,,0,C,46B-Double Parking (Com-100Ft),,,
8626527068,24368MH,NY,COM,01/19/2018,46,VAN,FORD,T,31190,37530,37550,20190531,34,34,34,364911,T103,M,0234P,,NY,F,1585,St Nicholas Ave,,0,408,F1,,YYYYYYY,,,WH,,2015,,0,C,46B-Double Parking (Com-100Ft),,,
8627155951,83915MK,NY,COM,01/19/2018,46,VAN,FRUEH,T,11710,35450,35470,88880088,20,20,20,365332,T103,GG,0120P,,NY,F,502,Amsterdam Ave,,0,408,F1,,YYYYYYY,,,BROWN,,2018,,0,38,46B-Double Parking (Com-100Ft),,,
8627155926,26596MB,NY,COM,01/19/2018,46,PICK,CHEVR,T,35490,11710,13610,20191031,20,20,20,365332,T103,GG,0108P,,NY,F,200,W 86th St,,0,408,F1,,YYYYYYY,,,WH,,2012,,0,38,46B-Double Parking (Com-100Ft),,,
8627155902,P942766,IL,PAS,01/19/2018,46,TRAC,FRUEH,T,13610,35530,35550,88880088,24,24,24,365332,T103,GG,1256P,,NY,O,2400,Broadway,,0,408,F1,,YYYYYYY,,,WHITE,,0,,0,38,46B-Double Parking (Com-100Ft),,,
8627155884,54990MC,NY,COM,01/19/2018,46,VAN,ME/BE,T,13610,35510,35530,20191130,24,24,24,365332,T103,GG,1249P,,NY,F,2394,Broadway,,0,408,F1,,YYYYYYY,,,GY,,2014,,0,38,46B-Double Parking (Com-100Ft),,,
8627155872,57926MK,NY,COM,01/19/2018,46,VAN,FORD,T,13610,35210,35230,20190930,24,24,24,365332,T103,GG,1247P,,NY,O,2091,Broadway,,0,408,F1,,YYYYYYY,,,WH,,2010,,0,38,46B-Double Parking (Com-100Ft),,,
8627155800,96090MA,NY,COM,01/19/2018,46,VAN,FRUEH,T,15710,35670,35690,88880088,24,24,24,365332,T103,GG,1200P,,NY,F,730,Columbus Ave,,0,408,F1,,YYYYYYY,,,BROWN,,2011,,0,38,46B-Double Parking (Com-100Ft),,,
8627155768,68083MD,NY,COM,01/19/2018,46,VAN,DODGE,T,18710,10410,25390,88880088,23,23,23,365332,T103,GG,0953A,,NY,F,11,E 86th St,,0,408,F1,,YYYYYYY,,,WHITE,,2013,,0,C,46B-Double Parking (Com-100Ft),,,
8627155719,63521JM,NY,COM,01/19/2018,46,VAN,INTER,T,25390,0,0,88880088,23,23,23,365332,T103,GG,0941A,,NY,I,E,Madison Ave,10ft N/of E 87th St,0,408,F1,,YYYYYYY,,,BROWN,,1995,,0,C,46B-Double Parking (Com-100Ft),,,
8627155707,68096JZ,NY,COM,01/19/2018,46,DELV,HIN,T,25390,18820,18830,20180228,23,23,23,365332,T103,GG,0939A,,NY,O,1296,Madison Ave,,0,408,F1,,YYYYYYY,,,WH,,2010,,0,C,46B-Double Parking (Com-100Ft),,,
8627155665,81010MH,NY,COM,01/19/2018,46,DELV,MITSU,T,10410,18910,18930,20180331,23,23,23,365332,T103,GG,0918A,,NY,F,1160,5th Ave,,0,408,F1,,YYYYYYY,,,WH,,2007,,0,C,46B-Double Parking (Com-100Ft),,,
8627155653,25503ME,NY,COM,01/19/2018,46,DELV,ISUZU,T,10410,10410,25390,20180331,23,23,23,365332,T103,GG,0917A,,NY,F,1165,5th Ave,,0,408,F1,,YYYYYYY,,,WH,,2014,,0,C,46B-Double Parking (Com-100Ft),,,
8627155630,15495TC,NY,TRC,01/19/2018,46,TRAC,INTER,T,25390,19050,19070,20180531,23,23,23,365332,T103,GG,0846A,,NY,F,1546,Madison Ave,,0,408,F1,,YYYYYYY,,,GR,,2014,,0,C,46B-Double Parking (Com-100Ft),,,
8625256016,49281KA,NY,COM,01/19/2018,46,VAN,FORD,T,32790,0,0,88880088,33,33,33,364004,T103,Q,0523P,,NY,I,W,Wadsworth Ave,40ft N/of W 178th St,0,408,F1,,YYYYYYY,,,WHITE,,2009,,0,09,46B-Double Parking (Com-100Ft),,,
8625256004,80541MD,NY,COM,01/19/2018,46,DELV,,T,13610,37370,37390,20190502,33,33,33,364004,T103,Q,0459P,,NY,F,4261,Broadway,,0,408,F1,,YYYYYYY,,,WH,,2001,,0,09,46B-Double Parking (Com-100Ft),,,
8625255980,55024MB,NY,COM,01/19/2018,46,VAN,WORKH,T,37250,13610,21190,88880088,33,33,33,364004,T103,Q,0441P,,NY,F,715,W 175th St,,0,408,F1,,YYYYYYY,,,BROWN,,2011,,0,09,46B-Double Parking (Com-100Ft),,,
8625255930,61410MB,NY,COM,01/19/2018,46,PICK,CHEVR,T,13610,37270,37290,20191231,33,33,33,364004,T103,Q,0250P,,NY,F,4175,Broadway,,0,408,F1,,YYYYYYY,,,WH,,2012,,0,09,46B-Double Parking (Com-100Ft),,,
