Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8636352770,45917BB,NY,OMR,01/09/2018,77,BUS,INTER,T,41330,54000,41930,20180301,88,88,88,347663,T301,M,0707A,,K,O,380,Flushing Ave,,0,408,m5,,YYYYYYY,,,YELLO,,0,,0,K,77-Parked Bus (exc desig area),,,
8636352757,45837BB,NY,OMR,01/09/2018,77,BUS,INTER,T,69230,0,0,20180301,88,88,88,347663,T301,M,0653A,,K,I,N,Park Ave,100ft W/of Taaffe Pl,0,408,m5,,YYYYYYY,,,YELLO,,0,,0,K,77-Parked Bus (exc desig area),,,
8636352745,35375BB,NY,OMR,01/09/2018,77,BUS,INTER,T,84030,0,0,20180301,88,88,88,347663,T301,M,0651A,,K,I,E,Taaffe Pl,20ft N/of Park Ave,0,408,m5,,YYYYYYY,,,YELLO,,0,,0,K,77-Parked Bus (exc desig area),,,
8632216790,95189,MA,APP,01/09/2018,77,BUS,VANHO,T,54580,61390,54790,20180688,109,109,109,366456,T401,B,1123A,,Q,F,41-60,Main St,,0,408,m5,,YYYYYYY,,,BLUE,,0,,0,02-A,77-Parked Bus (exc desig area),,,
8630155139,5293A,MA,APP,01/09/2018,77,BUS,VANHO,T,54580,61390,54790,20180688,109,109,109,363971,T401,K,0829A,,Q,O,41-60,Main St,,0,408,m5,,YYYYYYY,,,BLUE,,0,,0,08,77-Parked Bus (exc desig area),,,
8629960425,3925A,MA,APP,01/09/2018,77,BUS,VANHO,T,54580,61390,54790,20180688,109,109,109,364931,T401,D,1056A,,Q,F,41-70,Main St,,0,408,m5,,YYYYYYY,,,WHITE,,0,,0,50-A,77-Parked Bus (exc desig area),,,
8624320720,17333BB,NY,OMR,01/09/2018,77,BUS,CHEVR,T,37430,0,0,20180228,34,34,34,356491,T103,K,1124A,,NY,I,N,W 184th St,35ft W/of Amsterdam,0,408,m5,,YYYYYYY,,,YW,,2012,,0,01,77-Parked Bus (exc desig area),,,
8613333485,43503BB,NY,OMR,01/09/2018,77,BUS,INTER,T,67530,33530,32930,20180228,67,67,67,362538,T302,N,0154P,,K,F,891,Ocean Ave,,0,408,m5,,YYYYYYY,,,YW,,1998,,0,N,77-Parked Bus (exc desig area),,,
8613182136,23809BB,NY,OMR,01/09/2018,77,BUS,,T,29630,0,0,20180228,67,67,67,332021,T302,M,0942A,,K,I,S,Cortelyou Rd,60ft W/of E 42nd St,0,408,m5,,YYYYYYY,,,YW,,2008,,0,L,77-Parked Bus (exc desig area),,,
8613181909,13469SH,NY,SCL,01/09/2018,77,BUS,CHEVR,T,37730,0,0,20171231,67,67,67,332021,T302,M,0627A,,K,I,E,E 88th St,100ft N/of Ditmas Av,0,408,m5,,YYYYYYY,,,YW,,2001,,0,L,77-Parked Bus (exc desig area),,,
